Tweet	Sentiment	Coordinate
"Happy #worldTourismDay, we have so many incredible places in #London to visit, we can't believe some of these places are literally on our doorstep! 😲 Where is your favourite place in London? #charity #youthcharity #youngpeople #tourism #unitedkingdom #UK https://t.co/4HwLaLpkeK
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Fantastic news that #London is once again top of @people's index for the quality of our #greenfinance sector. There is much work still to be done, but our newly-launched @people is set to provide global leadership in the years to come: https://t.co/xIZbfb06uR 🌳🌎 https://t.co/fzGAVU6Iaw
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Good morning London, you’re looking beautiful this morning. #London #Thames #River #sun #nofilter @ London, United Kingdom https://t.co/WBDT53UFNC
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"My first trip to Pimlico. I wasn’t sure what I had expected but I know the buildings would have the grandeur of Belgravia. It felt a bit more ‘lived in’ but enjoyed a wander #london #pimlico https://t.co/HHJBBXftr7
"	POSITIVE	(51.50373840332031, -0.15430200099945068)
"RT @people: River Thames  at sunset with amazing #Trailblazer @people customers. #london  https://t.co/J9WrPE8G8H
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"It was nice seeing you, #london! 🇬🇧 || #toweroflondon 🏰 #nofilter #teampixel #london_city_photo @ Tower of London https://t.co/UHbgGnTFYg
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"I do love flying in over london on a semi clear day #London https://t.co/ztbxBCUpNK
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Oh #London -- you truly are a special city! @ Big Ben https://t.co/gDLJNPIdPK
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Good Morning From #London 🌞
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"London is full of small museums that don’t get the recognition they deserve. #london #museums #londonmuseums https://t.co/K5i3dkJeYp
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Another great day ahead in London Town . . . . . #uk #gb #greatbritain #england #Londonlife #london #igers #londoncalling #travel #wanderlust #travelblogger #traveller #travelgram #vacationtime #lovetotravel #photooftheday #igers #bestoftheday #streetpho… https://t.co/4WuIgAVQv7 https://t.co/bvoY0o9Rsl
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Pretty moments by millennium fountain in Cannizaro Park!   #Autumn #WimbledonVillage #Wimbledon #London #photooftheday https://t.co/o6VuaOhRHl
"	POSITIVE	(51.424320220947266, -0.22979700565338135)
"@people should give women credits for them to use at night to get home safe from the closest bus stop to their home. Unfortunately #London is really #unsafe now. In the last 2 days #drunkmen tried to talk to me on my way back home. I was really scared and they kept insisting 🆘
"	NEGATIVE	(51.500152587890625, -0.12623600661754608)
"RT @people: Good morning! Have a nice day! #GoodMorningWorld #coffee #time #sun #friday #morning #london #news #contrast #day #night #ref…
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"I miss this wonderful city everyday. I can’t believe it’s been 2 years. If I don’t go back soon, I’m gonna go mad. So here’s a few of my favourite pictures — out of 1000. #london #towerbridge #westminster #parliament… https://t.co/wZ1pmOrlzz
"	NEGATIVE	(51.500152587890625, -0.12623600661754608)
"RT @people: Incredible views over London from one of our sites. Making the most of the last few days if warm weather before winter…
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Back in my #beloved #london #town try to #see it as a #tourist would. #living a lot and #learning so much #atthistime very #grateful to #God for #allthing as a beloved #son 🙌🏼 #hallelujah #thankyoujesus 🙏🏼💫🎉💜 @… https://t.co/PKUbntGMmI
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"RT @people: Good morning #London. The most vibrant Centre of #Fintech in the world. Buzzing with excitement about ⁦@people⁩ next we…
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Today marks my 1 year mark in London, can't believe how time flies.  London has been an incredible city to experience and so fortunate to have the opportunity to experience it #london🇬🇧… https://t.co/Nq5M0CLH1E
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Beautiful morning in #London town! https://t.co/LlVAxuE9uk
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"British Museum. Some hour there is simply amazing. #London #britishmuseum #photos #photograph #photography https://t.co/ZFySP0DX9T
"	POSITIVE	(51.51896286010742, -0.1264210045337677)
"September 27, 2019 at 08:00AM Good morning, London! #london #travel
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Iconic #London. @ Westminster Abbey https://t.co/EXpxckBOlA
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Happy to be leading guided tours in #London on #WorldTourismDay! Have a great day everyone ❤️ #tourguidelife #lovelondon https://t.co/NREKRhOR9p
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"#london  Good Morning London.....😀
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"RT @people: #London living   I love it tbh https://t.co/aSA8xIFBg9
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"#London retains green finance crown  https://t.co/lOw2LjSCt5
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"#FridayMorning #LondonSunrise #Sunrise #London  Hope you all have a pleasant Friday!☀️🌅 https://t.co/mvEaccePGA
"	POSITIVE	(51.5493599139423, -0.00965238157184938)
"The Serpentine looking great last weekend. #london #lake #swim #swan https://t.co/2bVAZDY1ef https://t.co/ibtZ0zubSh
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Just remembering how beautiful #London is. Where to next? https://t.co/WCvLTxB6Qq
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"RT @people: Wow #London Excited for the inaugural #ThePlatform @people this weekend! Lots of great memories! Been involved wi…
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Movies don’t make justice to this bridge. Not to mention you have one of the best views from here. #london #bridge #londonbridge #blue #cloudy #sky #nublado #architecture #british #summer #europe #photography #photographer #fotografia #arquitectura #desi… https://t.co/UyjK0D3eLe https://t.co/ZH5tI5wpTB
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Happy 50th, Abbey Road! #TheBeatles #AbbeyRoad #AbbeyRoadStudios #London #UK #BeatlesForever #50thAnniversary @people ringostarrmusic georgeharrisonofficial @people @ Abbey Road Studios https://t.co/UbEgjTy77X
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"And the view gets better 😎 #ontopoftheworld #london https://t.co/LBpVdIpOdL
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"London by night from the sky is amazing. Quick pit stop for a couple of days.  Looking forward to seeing loved ones.   #london #qatarairways #happiness #positivity #positivevibes https://t.co/ZnlFvC2t4j
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Lovely Southwark cathedral, #London. Serving the parish that #Shakespeare lived in, the church has a memorial and a stained glass window to the Bard. @people #lovegreatbritain https://t.co/iiRCL0Gg2S
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"RT @people: This city really is a photographer's playground. What's your favourite city to shoot in? #London #photography #photograp…
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"Good morning Soho! #shootingday #photographer #photooftheday #picoftheday #models #fun #work #sunnyday #london #mycity @ Dean Street Townhouse https://t.co/KIu5b9zZBJ
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
"#London hidden gems right next to the famous tourist sights: https://t.co/WpxrknmYcK #SecretLondon #TravelBeyondTheObvious
"	POSITIVE	(51.500152587890625, -0.12623600661754608)
RT @people: One of my favorite sights in London that always rings a bell in my mind “no minute gone comes ever back again, take hee…	POSITIVE	
